customer_id,first_name,last_name,email,city,state,date_of_birth,customer_segment,registration_date
C000001,Vedika,Pau,dhriti41@example.net,Panchkula,Odisha,1993-09-04,Standard,2026-02-14
C000002,Suhani,Lal,sheremadhav@example.net,Singrauli,Uttarakhand,1991-03-11,Business,2025-08-09
C000003,Ishwar,Keer,bathnaksh@example.net,Bardhaman,Maharashtra,1977-09-23,Business,2025-01-14
C000004,William,Savant,shravya98@example.com,Delhi,Goa,1968-07-13,Business,2024-07-30
C000005,Fiyaz,Gade,chatterjeeisaac@example.net,Allahabad,Karnataka,1959-01-23,Business,2021-08-10
C000006,Yamini,Mander,isha45@example.net,Fatehpur,Arunachal Pradesh,2006-07-28,Standard,2022-07-02
C000007,Yug,Jain,jalsasrivastava@example.org,Guntur,Uttarakhand,1960-12-05,Standard,2025-12-14
C000008,Siya,Vig,batraviraj@example.net,Gwalior,Uttar Pradesh,2000-04-03,Business,2024-11-11
C000009,Krish,Raja,mukhopadhyayfaris@example.com,Raichur,Assam,1999-05-01,Standard,2021-11-26
C000010,Tejas,Modi,esule@example.com,Vasai-Virar,Madhya Pradesh,1970-10-22,Premium,2022-03-27
C000011,Dev,Bawa,,Haridwar,Manipur,1967-06-11,Standard,2023-02-17
C000012,Krish,Oommen,victor28@example.org,Gwalior,Chhattisgarh,2003-11-01,Premium,2023-02-18
C000013,Pranav,Ramachandran,purohitom@example.com,Bharatpur,Maharashtra,1947-01-05,Standard,2025-06-08
C000014,Jason,Kurian,elijah79@example.org,Pudukkottai,Telangana,1981-05-18,Standard,2022-08-13
C000015,Nandini,Hari,yuvraj15@example.net,Pondicherry,Assam,1983-09-07,Standard,2026-03-18
C000016,Aashi,Kohli,tanviloke@example.com,Mathura,Odisha,1958-09-02,Standard,2022-03-05
C000017,Udyati,Ramanathan,nsunder@example.net,Parbhani,Haryana,1982-02-02,Business,2023-02-11
C000018,Krishna,Bath,arunima89@example.net,Bhavnagar,Nagaland,1998-07-27,Standard,2024-12-31
C000019,Thomas,Varghese,wlad@example.org,Kamarhati,Madhya Pradesh,1956-07-16,Premium,2025-07-21
C000020,Riya,Konda,mchowdhury@example.com,Solapur,Arunachal Pradesh,1950-07-23,Standard,2023-01-11
C000021,Frederick,Gala,hemangmalhotra@example.com,Malegaon,Odisha,1989-07-01,Premium,2024-01-08
C000022,Radhika,Nayak,ganeshcharles@example.net,Malegaon,Rajasthan,1963-08-12,Standard,2025-11-30
C000023,Bachittar,Sarraf,jhalak36@example.net,Motihari,Karnataka,2005-09-11,Business,2023-04-04
C000024,Vrinda,Parikh,kritika67@example.net,Pudukkottai,Kerala,1951-04-22,Standard,2026-03-15
C000025,Maya,Nagy,meghakakar@example.com,Udaipur,Madhya Pradesh,1950-07-01,Premium,2023-03-01
C000026,Kashvi,Desai,advikabahri@example.net,Katni,Assam,1984-02-24,Standard,2025-11-18
C000027,Chakradhar,Koshy,chaudharyjeevika@example.com,Surat,Assam,1970-08-01,Standard,2022-06-06
C000028,Timothy,Peri,ekbal42@example.org,Ahmedabad,Odisha,1963-05-14,Business,2022-10-20
C000029,Arin,Kohli,caurora@example.net,Meerut,Bihar,1991-10-12,Standard,2023-12-10
C000030,Sanya,Nair,eiravati75@example.net,Kottayam,Uttar Pradesh,1982-10-19,Standard,2022-06-07
C000031,Yahvi,Kapadia,oram@example.org,Kolkata,Sikkim,1963-08-15,Business,2022-03-21
C000032,Vamakshi,Jani,radhika96@example.org,Sri Ganganagar,Assam,1979-12-07,Business,2025-05-19
C000033,Madhav,Johal,pranavmody@example.org,Gurgaon,Uttar Pradesh,1945-08-30,Standard,2022-06-10
C000034,Hemal,Sehgal,widisha51@example.net,Tenali,Tripura,1987-09-27,Business,2024-12-14
C000035,Balendra,Nath,rverma@example.com,Kakinada,Kerala,1966-03-03,Standard,2025-11-20
C000036,Anusha,Chaudhari,michaelnaidu@example.org,Jalna,Chhattisgarh,1966-03-02,premium,2024-05-23
C000037,Janya,Varma,zinalsarin@example.org,Bijapur,Karnataka,1947-06-02,Business,2024-11-23
C000038,Mohammed,Bahri,akaur@example.com,Rohtak,Gujarat,1960-07-31,Premium,2022-11-11
C000039,Aarini,Bains,daliamanbir@example.net,Ichalkaranji,Mizoram,1983-02-27,Standard,2024-05-07
C000040,Wahab,Kalita,tlad@example.com,Suryapet,Punjab,1984-11-03,standard,2025-04-22
C000041,Sarthak,Bobal,zzacharia@example.com,Jehanabad,Assam,1994-04-19,Premium,2022-02-28
C000042,Sai,Sha,unnatikeer@example.org,Jalgaon,Kerala,1952-09-04,Standard,2022-04-11
C000043,Nathaniel,Jayaraman,,Gangtok,Nagaland,1996-09-06,Business,2026-08-02
C000044,Darpan,Sastry,ekantadutt@example.net,Kollam,West Bengal,1966-10-31,Standard,2025-12-25
C000045,Onveer,Mital,yashawinikrishnamurthy@example.org,Sri Ganganagar,Gujarat,1980-09-07,Business,2025-05-26
C000046,Chanchal,Singh,dugalyoshita@example.net,Proddatur,Rajasthan,1990-10-14,Premium,2022-07-22
C000047,Zinal,Chaudhari,vanshagill@example.com,Hindupur,Arunachal Pradesh,1999-05-29,Standard,2025-08-13
C000048,Odika,Manda,esubramaniam@example.com,Madurai,Mizoram,1979-04-14,Premium,2024-09-09
C000049,Eshana,Konda,krishna53@example.org,Dehri,Goa,1955-01-09,Standard,2023-09-28
C000050,Wriddhish,Prashad,wishimanne@example.com,Karimnagar,Assam,1990-11-07,Standard,2026-03-26
C000051,Gavin,Sachar,xitisetty@example.net,Gulbarga,Gujarat,1958-11-18,Business,2023-10-16
C000052,Oliver,Om,qchoudhry@example.net,Pune,Tamil Nadu,1947-04-30,Premium,2024-10-26
C000053,Omkaar,Minhas,banjeet40@example.com,Naihati,Telangana,1983-12-06,Standard,2025-09-26
C000054,Advaith,Manda,hseshadri@example.com,Gulbarga,Sikkim,1950-08-20,Business,2021-11-07
C000055,Bakhshi,Srinivasan,krishraghav@example.net,Lucknow,Nagaland,1950-08-10,Standard,2022-07-17
C000056,Avi,Vaidya,jeremiahtoor@example.com,Muzaffarnagar,Odisha,1972-10-26,Business,2025-07-10
C000057,Yuvraj,Yogi,loyalzaitra@example.org,Tiruppur,Punjab,1951-09-30,Standard,2024-07-08
C000058,Hemani,Mand,xbatta@example.com,Ramgarh,Sikkim,1960-04-18,Business,2022-10-29
C000059,Logan,Dua,rsuresh@example.org,Secunderabad,Karnataka,1954-06-17,Business,2024-05-12
C000060,Omisha,Shenoy,xalak55@example.net,Raurkela Industrial Township,Meghalaya,2006-04-22,Premium,2023-10-26
C000061,Jacob,Bora,groverisaac@example.net,Chittoor,Chhattisgarh,1979-09-04,Premium,2023-09-15
C000062,Quincy,Ahluwalia,oatwal@example.net,Nagercoil,Uttar Pradesh,1989-08-26,Premium,2025-12-02
C000063,Vihaan,Jaggi,gnagy@example.com,Bardhaman,Arunachal Pradesh,1981-08-27,Business,2021-09-10
C000064,Yochana,Chowdhury,libninath@example.com,Uluberia,Himachal Pradesh,1967-12-06,Standard,2025-05-19
C000065,Ikshita,De,inadig@example.org,Guntakal,Karnataka,1978-01-02,Premium,2024-10-05
C000066,Gopal,Varghese,atandon@example.com,Shimla,Odisha,1956-10-18,Business,2023-04-16
C000067,Viraj,Deol,bhattiwyatt@example.com,Ujjain,Punjab,2002-11-11,Premium,2022-08-07
C000068,Jalsa,Rajan,fnanda@example.org,Tenali,Bihar,1963-02-04,Standard,2023-07-24
C000069,Isaac,Din,khareindira@example.net,Sri Ganganagar,Madhya Pradesh,1991-01-15,Standard,2026-01-11
C000070,Barkha,Datta,indira47@example.com,Navi Mumbai,Maharashtra,1994-10-08,Standard,2024-06-05
C000071,Yug,Solanki,waliwatika@example.com,Akola,Nagaland,1951-07-25,Premium,2023-08-12
C000072,Chaitaly,Mukhopadhyay,odika89@example.org,Jehanabad,Telangana,1978-04-06,Standard,2026-04-08
C000073,Hemal,Borah,shettyneha@example.net,Kota,Tripura,2002-08-06,Business,2025-10-01
C000074,Qadim,Pai,kamalanarayan@example.com,Shahjahanpur,Madhya Pradesh,2008-02-21,Premium,2023-12-19
C000075,Nidhi,Sanghvi,ewalia@example.com,Tirupati,Uttarakhand,1997-11-24,Business,2022-09-19
C000076,Kalpit,Prasad,xkar@example.com,Hazaribagh,Telangana,1954-06-08,Business,2023-06-12
C000077,Pushti,Patel,rajatabahl@example.com,Raipur,Telangana,1980-09-07,Premium,2022-06-22
C000078,Thomas,Ganesh,panini05@example.org,Katni,Odisha,2005-01-30,Premium,2022-12-22
C000079,Vidhi,Narasimhan,etasubramanian@example.com,Kanpur,Mizoram,1962-11-09,Premium,2024-11-04
C000080,Aashi,Suri,ira39@example.com,Kadapa,Nagaland,1985-08-08,Premium,2022-04-12
C000081,Darika,Gera,bosetamanna@example.org,Barasat,Kerala,1984-12-20,Standard,2024-04-24
C000082,Vincent,Gala,ubika03@example.net,Morbi,Arunachal Pradesh,1971-06-10,Business,2023-12-26
C000083,Urvi,Chada,farajrao@example.org,Hindupur,Bihar,1964-12-29,Business,2022-02-28
C000084,Nirja,Bahri,xvasa@example.org,Durg,Andhra Pradesh,1998-03-17,Premium,2023-06-21
C000085,Kavya,Tank,yahvinair@example.com,Varanasi,Haryana,1948-07-28,Business,2026-05-27
C000086,Atharv,Purohit,purohityadavi@example.org,Bareilly,Nagaland,1975-11-28,Business,2026-01-25
C000087,Bhavini,Deep,somnaveen@example.com,Ujjain,Haryana,1957-01-20,Premium,2023-04-06
C000088,Ucchal,Pillay,hiralkamdar@example.net,Srikakulam,Mizoram,1964-10-19,Standard,2022-03-05
C000089,Saksham,Agate,atichakrabarti@example.org,Ludhiana,Arunachal Pradesh,2007-08-31,Business,2026-04-15
C000090,Sanya,Wali,waziragrawal@example.com,Patna,Maharashtra,2000-04-12,Premium,2023-06-03
C000091,Watika,Goel,memonzarna@example.com,Nadiad,Assam,1970-09-07,Business,2024-02-19
C000092,Zaid,Mand,zkhare@example.com,Khora ,Haryana,1979-11-16,Standard,2025-03-27
C000093,Ishani,Parmer,tataluke@example.com,Mango,Sikkim,1966-02-25,Premium,2022-09-21
C000094,Lavanya,Prashad,blad@example.net,Dharmavaram,Punjab,2005-02-28,Business,2023-07-16
C000095,Zashil,Kalita,maanas88@example.org,Bally,Kerala,1981-04-28,Premium,2025-03-26
C000096,Tanay,Sachdev,adwetakant@example.net,Nadiad,Sikkim,1960-02-08,Business,2023-03-22
C000097,Ucchal,Karpe,jagvidhar@example.com,Bhiwandi,Tamil Nadu,2003-06-23,Standard,2023-11-12
C000098,Chameli,Agarwal,pbhardwaj@example.org,Durgapur,Arunachal Pradesh,1966-11-22,Premium,2025-07-10
C000099,Suhani,Loke,yatansangha@example.org,Agra,Odisha,1958-10-25,Premium,2024-05-01
C000100,Turvi,Grover,epandey@example.net,Ballia,Karnataka,1989-01-26,Business,2021-11-18
C000101,Ayushman,Sahota,abadal@example.net,Karimnagar,Chhattisgarh,1970-12-23,Standard,2022-02-10
C000102,Oeshi,Madan,akshay72@example.com,Barasat,Maharashtra,2007-12-04,Standard,2026-03-31
C000103,Luke,Suri,usrivastava@example.com,Agartala,Andhra Pradesh,1955-05-20,Standard,2026-04-19
C000104,Turvi,Bajaj,zbhargava@example.com,Gulbarga,Assam,1965-04-20,Premium,2023-07-21
C000105,Garima,Mohan,shethishita@example.org,Bilaspur,West Bengal,1978-10-17,Business,2024-09-07
C000106,Viraj,Sankaran,jdey@example.org,Nagpur,Goa,1997-08-02,Premium,2023-08-24
C000107,Ishita,Dara,rdubey@example.com,Jamalpur,Karnataka,2005-01-06,Premium,2023-01-03
C000108,Abha,Bains,chamanpanchal@example.net,Gopalpur,Punjab,1969-09-19,business,2025-05-01
C000109,Jalsa,Tak,xchatterjee@example.com,Shimla,Mizoram,2004-05-25,Standard,2022-05-23
C000110,Hemangini,Raju,farisbarad@example.org,Patna,Andhra Pradesh,1952-02-11,Business,2023-10-23
C000111,Hema,Bedi,vasashravya@example.com,Chittoor,Sikkim,1972-02-19,Premium,2025-03-10
C000112,Neelima,Mukhopadhyay,mittaltriveni@example.net,Guwahati,Maharashtra,1997-05-20,Standard,2023-10-27
C000113,Lavanya,Zachariah,oshamagar@example.com,Mathura,Bihar,1966-06-13,Premium,2024-01-26
C000114,Anusha,Mahajan,wableabhiram@example.org,Rajkot,Rajasthan,1965-05-24,Premium,2025-06-05
C000115,Ganga,Brar,pahalsalvi@example.com,Haldia,Arunachal Pradesh,1964-04-18,Standard,2025-12-26
C000116,Meera,Chacko,vshetty@example.com,Haridwar,Tamil Nadu,2006-05-17,Standard,2025-04-16
